DATA;ANO;MÒS;PERIODO;PIS/PASEP;COFINS;ICMS;DEMANDA_CONTRATADA_P;DEMANDA_CONTRATADA_FP;DEMANDA_REGISTRADA_P;DEMANDA_REGISTRADA_FP;DEMANDA_ISENTA_P;DEMANDA_ISENTA_FP;TAR_TUSD_KW_P;TAR_TUSD_KW_FP;ENERGIA_PONTA;ENERGIA_FPONTA;TAR_TUSD_KWH_P;TAR_TUSD_KWH_FP;TAR_TE_KWH_P;TAR_TE_KWH_FP;REAT_KVAR_PONTA;REAT_KVAR_FPONTA;TAR_REAT_PONTA;TAR_REAT_FPONTA;Valor da Fatura;Consumo Total;Acrescimo_Bamar;Acrescimo_Bverm1;Acrescimo_Bverm2;Demanda Isenta;DEM_ULTRAPASSAGEM;TE_DEM_ULTRAPASSAGEM
13/01/2020;2020;1;31;0,0111;0,0509;0,29;0;175;108;146,56;0;0;-;-;3198,00;28051,00;-;-;1,975891;0,520898;3,00;55,000;0,416667;0,420182;23.678,83;31249;644,25;0;0;32,44;;
17/02/2020;2020;2;29;0,0107;0,0491;0,29;0;175;65,66;126,57;0;0;-;-;2663,00;29878,00;-;-;1,983736;0,522965;1,00;104,000;0,41;0,422115;23.408,45;32541;451,33;0;0;48,43;;
12/032020;2020;3;31;0,0105;0,0485;0,29;0;175;126,14;189,64;0;0;-;-;4273,00;36162,00;-;-;1,978479;0,52158;0;34;0;0,420882;29984,74;40435;0;0;0;0;;
16/04/2020;2020;4;30;0,0102;0,0467;0,29;0;175;151,2;235,44;0;0;-;-;3373;27369;-;-;1,974711;0,520587;0;38;0;0,42;26571,15;30742;0;0;0;0;;
05/12/2020;2020;5;31;0,0098;0,048;0,29;0;175;53,13;51,4;0;0;-;-;2086;19242;-;-;1,968068;0,518835;0;45;0;0,418667;15965,06;21328;0;0;0;121,87;;
06/12/2020;2020;6;30;0,0094;0,0434;0,29;0;175;57,88;55,72;0;0;-;-;3362;21325;-;-;1,961785;0,517179;0;33;0;0,41697;19309,84;24687;0;0;0;117,12;;
15/01/2015;2015;1;31;;;0,29;0;150;102,81;100,22;47,19;47,19;;;3030;26231;0,732716;0,031669;0,448208;0,267413;12;211;0,282500;0,282417;12413,1;29261;;468,35;;;;
18/02/2015;2015;2;31;0,0107;0,0493;0,29;0;150;51,4;77,76;72,24;72,24;;;2388;26517;0,738626;0,031924;0,451826;0,269570;12;205;0,284167;0,284634;12601,31;28905;;1314,49;;;;
17/03/2015;2015;3;28;;;0,29;0;150;122,25;114,91;27,75;27,75;;;3679;25505;0,779198;0,060455;0,498997;0,299370;5;152;0,314000;0,315987;15992,87;29184;;1747,81;;;;
15/04/2015;2015;4;31;;;0,29;0;150;118,8;109,72;31,2;31,2;;;5850;32804;0,832429;0,110954;0,571797;0,345784;;119;;0,364538;26184,42;38654;;3270,72;;;;
18/05/2015;2015;5;30;;;0,29;0;150;117,07;106,7;32,93;32,93;;;4996;29075;;;;;;56;;0,364643;23060,56;34071;;2882,91;;;;
16/06/2015;2015;6;31;;;0,29;0;150;108,43;105,4;41,57;41,57;;;6077;32404;;;;;;62;;0,364355;26251,98;38481;;3256,07;;;;
16/07/2015;2015;7;31;;;0,29;0;150;102,36;89,42;47,62;47,62;;;5098;28896;;;;;;17;;0,405882;24970,43;33994;;2876,41;;;;
17/08/2015;2015;8;30;;;0,29;0;150;91,58;82,94;58,42;58,42;;;2947;22340;;;;;;37;;0,432973;18065,51;25287;;2127,95;;;;
16/09/2015;2015;9;31;;;0,29;0;150;109,29;94,17;40,71;40,71;;;5689;30527;;;;;;52;;0,429038;28278,39;36216;;2823,13;;;;
16/10/2015;2015;10;30;;;0,29;0;150;131,76;129,16;18,24;18,24;;;6114;32495;;;;;;57;;0,428596;29458,49;38609;;2632,42;;;;
16/11/2015;2015;11;31;0,0129;0,0591;0,29;0;150;140,4;143,85;6,15;6,15;;;5562;32097;;;;;2;146;0,43;0,434041;28376,86;37659;;2598,38;;;;
16/12/2015;2015;12;30;;;0,29;0;150;126,14;130,46;19,54;19,54;;;5141;29835;;;;;;90;;0,443556;26962,12;34976;;2466,95;;;;
15/01/2016;2016;1;31;0,0141;0,0649;0,29;0;150;55,72;66,09;83,91;83,91;;;1590;17934;;;1,646333;0,542125;7;107;0,444286;0,445421;14268,93;19524;;1382,47;;;;
16/02/2016;2016;2;31;;;0,29;0;128;46,65;85,96;42,04;42,04;;;1872;20159;;;1,658109;0,546006;12;421;0,448333;0,448622;15936,86;22031;;1385,29;;;;
15/03/2016;2016;3;29;0,0132;0,0608;0,29;0;128;125,28;117,07;2,72;2,72;;;3805;25778;;;1,653157;0,544369;;80;;0,447125;21579,46;29583;265,92;870,42;;;;
14/04/2016;2016;4;31;0,0121;0,0559;0,29;0;128;146,88;134,78;;;;;5951;32876;;;1,639600;0,539905;;64;;0,443438;28837,25;38827;588,86;;;;18,88;21,625
16/05/2016;2016;5;30;;;0,29;0;128;137,8;130,46;;;;;6234;31898;;;1,629716;0,536651;;31;;0,440645;27324,3;38132;;;;;9,8;21,495918
15/06/2016;2016;6;31;0,0110;0,0510;0,29;0;128;117,5;102,81;10,5;10,5;;;6023;31108;;;1,624330;0,534877;;13;;0,440000;26769,01;37131;;;;;;
15/07/2016;2016;7;30;0,0100;0,0470;0,29;0;128;107,13;93,31;20,87;20,87;;;4988;27505;;;1,601612;0,469953;;20;;0,387500;21337,38;32493;;;;;;
16/05/2016;2016;8;31;0,0095;0,0435;0,29;0;128;94,6;84,67;33,4;33,4;;;3485;21958;;;1,584795;0,426790;;60;;0,353500;16787,78;25443;;;;;;
15/09/2016;2016;9;31;;;0,29;0;128;111,45;97,63;16,55;16,55;;;5618;30143;;;1,578565;0,425114;;29;;0,352069;22320,8;35761;;;;;;
18/10/2016;2016;10;30;0,0088;0,0402;0,29;0;128;113,61;104,54;14,39;14,39;;;5862;31695;;;1,575052;0,424167;;61;;0,351311;23273,46;37557;;;;;;
17/11/2016;2016;11;31;0,0080;0,0370;0,29;0;128;136,94;156,38;;;;;5392;33200;;;1,565653;0,421636;1;57;0,34;0,349123;24674,26;38592;310,05;;;;28,38;31,883016
15/12/2016;2016;12;30;0,0073;0,0337;0,29;0;128;121,82;145,58;;;;;4772;30611;;;1,556142;0,419076;1;80;0,34;0,347125;22303,64;35383;504,37;;;;17,58;31,688282
15/01/2019;2019;1;31;0,0143;0,0657;0,29;0;149;112,75;181;;;;;2869;29118;;;2,055702;0,538817;5;107;0,464;0,463364;25849,65;31988;;;;;32;49,950313
13/02/2019;2019;2;31;0,0125;0,0575;0,29;0;149;58,32;127,44;21,56;21,56;;;2575;31853;;;2,018027;0,528941;3;47;0,45;0,454681;23924,06;34428;;;;;;
20/03/2019;2019;3;28;;;0,29;0;149;93,31;131,76;17,24;17,24;;;2641;26216;;;1,991564;0,522006;0;38;0;0,448684;20989,57;28858;;;;;;
